type,asin,title,author,narrator,genre,length_hours,rating,rating_count,price,regular_price,cover_url,audible_url
monthly,B0DC1MWVCY,Confronting the Thief,"Jane Hamon,Chuck D. Pierce - foreword",Susan Hanfield,,9.3,4.9,40,5.99,20.67,https://m.media-amazon.com/images/I/51UJs37PbZL._SL500_.jpg,https://www.audible.com/pd/B0DC1MWVCY
monthly,B0D1LL74N8,Cómo superar los pensamientos negativos [How to Overcome Negative Thoughts],Chase Hill,Maxi Tissot,,3.9,4.8,52,5.99,12.61,https://m.media-amazon.com/images/I/51woQ68nqcL._SL500_.jpg,https://www.audible.com/pd/B0D1LL74N8
monthly,B0CZYSRH6R,The Darkest Note,Nelia Alarcon,"Willa Jaymes,Johnny East",,9.4,4.5,93,5.99,20.05,https://m.media-amazon.com/images/I/51wCBMO9zxL._SL500_.jpg,https://www.audible.com/pd/B0CZYSRH6R
monthly,B0BJ52Z8FB,Bold Move,Dr. Luana Marques,Dr. Luana Marques,,10.1,4.5,23,7.99,26.09,https://m.media-amazon.com/images/I/41UO7XsQk1L._SL500_.jpg,https://www.audible.com/pd/B0BJ52Z8FB
monthly,B0D652SQTZ,You're My Home,Katie Moore,Adam Gold,,17.1,4.7,550,6.99,26.38,https://m.media-amazon.com/images/I/51Q3OQ8I-eL._SL500_.jpg,https://www.audible.com/pd/B0D652SQTZ
monthly,B0DHWCY9LJ,Gospel Mom,"Emily Jensen,Laura Wifler","Laura Wifler,Emily A. Jensen",,4.9,4.3,13,5.99,15.64,https://m.media-amazon.com/images/I/51lpnsG9yNL._SL500_.jpg,https://www.audible.com/pd/B0DHWCY9LJ
monthly,B07YZSJ4CH,"Alison Larkin Presents: The Secret Adversary, Murder on the Links, and The Mysterious Affair at Styles",Agatha Christie,"Alison Larkin,James Warwick",,24.2,4.2,47,5.99,28.91,https://m.media-amazon.com/images/I/610kmHPgrqL._SL500_.jpg,https://www.audible.com/pd/B07YZSJ4CH
monthly,B0C5JSDJWV,Sweet Regret,K. Bromberg,"Ryan West,Stella Hunter",,9.4,4.6,318,5.99,19.95,https://m.media-amazon.com/images/I/514uKYHzm5L._SL500_.jpg,https://www.audible.com/pd/B0C5JSDJWV
monthly,B0CDDF4THK,Lore of the Wilds,Analeigh Sbrana,Marcella Cox,,10.8,4.3,277,7.99,26.09,https://m.media-amazon.com/images/I/51HybaS1sNL._SL500_.jpg,https://www.audible.com/pd/B0CDDF4THK
monthly,B0DNRN1H54,Fertile Valley 1,"Annabelle Hawthorne,Virgil Knightley","Boise Blue,Aurora Bliss",,10.2,4.7,249,5.99,20.48,https://m.media-amazon.com/images/I/51zkrmI6c5L._SL500_.jpg,https://www.audible.com/pd/B0DNRN1H54
monthly,B0CWJ3Q3C1,The Lies We Leave Behind,Noelle Salazar,"Xe Sands,Patrick Zeller",,12.1,4.7,306,7.99,26.09,https://m.media-amazon.com/images/I/51EqBMaMNfL._SL500_.jpg,https://www.audible.com/pd/B0CWJ3Q3C1
monthly,B0CBL5PN9R,The Montessori Child,"Simone Davies,Junnifa Uzodike",Robin Miles,,11.1,4.1,9,6.99,25.19,https://m.media-amazon.com/images/I/41kbZH5i2WL._SL500_.jpg,https://www.audible.com/pd/B0CBL5PN9R
monthly,B0DZ43HDQG,The Influencer: A Psychological Thriller,Adriane Leigh,Amy Hutchins,,7.5,3.7,100,5.99,18.3,https://m.media-amazon.com/images/I/51qa8OuMvYL._SL500_.jpg,https://www.audible.com/pd/B0DZ43HDQG
monthly,B0F9B81BN9,Through Gates of Splendor,Elisabeth Elliot,Alisa Childers,,6.7,4.8,60,5.99,17.89,https://m.media-amazon.com/images/I/51ZZrN4Xv0L._SL500_.jpg,https://www.audible.com/pd/B0F9B81BN9
monthly,B0BVRWVRZS,The Weekend Retreat,Tara Laskowski,"Emily Ellet,Karissa Vacker,Lisa Flanagan,Gail Shalan",,10.0,4.0,125,6.99,25.19,https://m.media-amazon.com/images/I/51GZPNQqFAL._SL500_.jpg,https://www.audible.com/pd/B0BVRWVRZS
monthly,B0D4WQ18F1,The Mindful Marriage,"Ron L Deal MMFT MMFT,Nan Deal BSE BSE,Terry Hargrave PhD PhD,Sharon Hargrave MA MA",Pete Straub,,5.9,4.9,20,5.99,17.09,https://m.media-amazon.com/images/I/51n+XCdBmPL._SL500_.jpg,https://www.audible.com/pd/B0D4WQ18F1
monthly,B0CQTG7Z6H,I'll Be the One,T'Lyn,"Midnite Michael,Tiana Milaje",,6.7,4.7,354,5.99,16.2,https://m.media-amazon.com/images/I/4164qJ7b2FL._SL500_.jpg,https://www.audible.com/pd/B0CQTG7Z6H
monthly,B0BJSLS5P1,Jimmy and the Crawler,Raymond E. Feist,Matt Bates,,3.7,4.4,63,6.99,24.29,https://m.media-amazon.com/images/I/51ksWDJFb9L._SL500_.jpg,https://www.audible.com/pd/B0BJSLS5P1
monthly,B0FSSPJB2M,Sinful,K.G. Reuss,"Stella Ripley,Joe Arden,Edward Black,J. Tipstone,Michael Gallagher,Anthony Palmini,Sean Masters",,13.6,4.8,316,6.99,22.79,https://m.media-amazon.com/images/I/51FLOp9fhdL._SL500_.jpg,https://www.audible.com/pd/B0FSSPJB2M
monthly,B0FSLXSJY8,Loserthink,Scott Adams,Andrew Baldwin,,6.9,4.7,31,5.99,17.33,https://m.media-amazon.com/images/I/41rMlW7L-zL._SL500_.jpg,https://www.audible.com/pd/B0FSLXSJY8
monthly,B0C9FJCXJQ,Your Pocket Therapist,Dr. Annie Zimmerman,Dr. Annie Zimmerman,,8.3,5.0,59,6.99,25.19,https://m.media-amazon.com/images/I/4112eUSyi+L._SL500_.jpg,https://www.audible.com/pd/B0C9FJCXJQ
monthly,B0BTGQJRCM,In the Shelter of Hollythorne House,Sarah E. Ladd,Jude Mason,,8.8,4.3,104,7.99,26.09,https://m.media-amazon.com/images/I/51VuM1-OWYL._SL500_.jpg,https://www.audible.com/pd/B0BTGQJRCM
monthly,B07C274882,NVI Audiobiblia Completa,Zondervan,Rafael Cruz,,80.2,4.2,35,7.99,47.69,https://m.media-amazon.com/images/I/518MPFxtNHL._SL500_.jpg,https://www.audible.com/pd/B07C274882
monthly,B0FV3P81BF,Game Over,Selena Winters,"Troy Duran,Heather Johns",,9.7,4.5,201,5.99,21.01,https://m.media-amazon.com/images/I/51CNBIUtLhL._SL500_.jpg,https://www.audible.com/pd/B0FV3P81BF
monthly,B0DCCH3RYV,Time-Marked Warlock,Shami Stovall,"Annie Ellicott,Jeff Hays,Justin Thomas James",,9.6,4.4,408,5.99,20.49,https://m.media-amazon.com/images/I/51ZtkQobMsL._SL500_.jpg,https://www.audible.com/pd/B0DCCH3RYV
monthly,B0FXF913ND,Better Daddy,"Brittanee Nicole,Jenni Bara","C J Bloom,Connor Crais,Angelina Rocca,Sean Masters,Stephen Dexter",,9.7,4.6,155,5.99,21.01,https://m.media-amazon.com/images/I/41NrJ2AaXCL._SL500_.jpg,https://www.audible.com/pd/B0FXF913ND
monthly,B0BFG8LP34,End of Story,Kylie Scott,Andi Arndt,,9.0,4.3,176,7.99,26.09,https://m.media-amazon.com/images/I/41AHlae2QpL._SL500_.jpg,https://www.audible.com/pd/B0BFG8LP34
monthly,B0B3LWZ2GC,"I'm No Philosopher, But I Got Thoughts","Kristin Chenoweth,Ariana Grande - introduction","Kristin Chenoweth,Melinda Sewak",,2.6,4.7,67,4.99,16.19,https://m.media-amazon.com/images/I/41vxIrP6OpL._SL500_.jpg,https://www.audible.com/pd/B0B3LWZ2GC
monthly,B0DK46KPV7,Downfall,Evelyn Sola,"Wesleigh Siobhan,Troy Duran",,12.2,4.7,308,6.99,22.38,https://m.media-amazon.com/images/I/41u7jEnx3TL._SL500_.jpg,https://www.audible.com/pd/B0DK46KPV7
monthly,B0DHJBZ7MT,My Cottage Was Transferred to Another World Omnibus,Sebastian Guzman,"Melisandre Verte,Ron d'Vous",,38.0,4.6,142,5.99,31.98,https://m.media-amazon.com/images/I/51W-YyltpwL._SL500_.jpg,https://www.audible.com/pd/B0DHJBZ7MT
monthly,B0D9KR4FBL,The Hands of the Potters: The Complete Collection,Kristy Marie,"Heather Firth,Connor Crais,Jason Clarke,Neill Thorne",,34.2,4.7,165,5.99,30.64,https://m.media-amazon.com/images/I/51A6zZaaqmL._SL500_.jpg,https://www.audible.com/pd/B0D9KR4FBL
