region,type,asin,title,author,narrator,genre,categories,tags,length_hours,rating,rating_count,price,regular_price,cover_url,audible_url
us,cash,B09V1WFCXS,Harvest Moon,Denise Hunter,Jessica Holton,Literature & Fiction,Literature & Fiction; Genre Fiction; Christian Fiction; Romance; Women's Fiction; Clean & Wholesome; Contemporary,,8.6,4.8,171,6.99,24.29,https://m.media-amazon.com/images/I/51DQUqC3tXL._SL500_.jpg,https://www.audible.com/pd/B09V1WFCXS
us,cash,B012EHRBQM,Wealth Secrets of the One Percent,Sam Wilkin,Sam Wilkin,Money & Finance,Money & Finance; Investing & Trading; Personal Finance; Money Management & Budgeting,,12.8,4.3,83,6.99,28.79,https://m.media-amazon.com/images/I/41+lPcj0dYL._SL500_.jpg,https://www.audible.com/pd/B012EHRBQM
us,cash,B07HM769Y9,The Morning Mind,"Robert Carter III,Kirti Salwe Carter MBBS MPH",Wayne Campbell,Health & Wellness,Health & Wellness; Psychology & Mental Health; Psychology; Literature & Fiction; Literary History & Criticism; World Literature; European; Politics & Social Sciences; Philosophy; Consciousness & Thought,,5.8,4.6,37,6.99,21.59,https://m.media-amazon.com/images/I/41KV1XGPPCL._SL500_.jpg,https://www.audible.com/pd/B07HM769Y9
us,cash,B01AX3BGCO,21 Days to Resilience,Zelana Montminy,Heather Henderson,Business & Careers,"Business & Careers; Career Success; Motivation & Self-Improvement; Health & Wellness; Psychology & Mental Health; Psychology; Relationships, Parenting & Personal Development; Personal Development; Personal Success",,4.2,4.4,41,6.99,17.99,https://m.media-amazon.com/images/I/41uWpSv9zsL._SL500_.jpg,https://www.audible.com/pd/B01AX3BGCO
us,cash,B0B6QD43GV,Every Memory Deserves Respect,"Michael Baldwin,Deborah Korn","Xe Sands,Sean Pratt",Health & Wellness,"Health & Wellness; Psychology & Mental Health; Mental Health; Post-Traumatic Stress Disorders; Psychology; Relationships, Parenting & Personal Development; Personal Development",,5.0,4.8,62,6.99,17.09,https://m.media-amazon.com/images/I/51xLmCJ9jEL._SL500_.jpg,https://www.audible.com/pd/B0B6QD43GV
us,cash,B07CZPZ3BS,Pestilence,Laura Thalassa,Susannah Jones,Romance,Romance; Paranormal; Science Fiction & Fantasy; Fantasy; Fairy Tales; Science Fiction; Post-Apocalyptic,Literature & Fiction,11.4,4.3,2792,5.99,20.95,https://m.media-amazon.com/images/I/51XMw5cfY7L._SL500_.jpg,https://www.audible.com/pd/B07CZPZ3BS
us,cash,B09SBQV4G8,The Milky Way,Moiya McTier,Moiya McTier,Biographies & Memoirs,Biographies & Memoirs; Professionals & Academics; Science & Technology; Politics & Social Sciences; Social Sciences; Science & Engineering; Science; Astronomy & Space Science; Astronomy; Physics,,6.7,3.8,137,6.99,22.49,https://m.media-amazon.com/images/I/51Vx5O3D8oL._SL500_.jpg,https://www.audible.com/pd/B09SBQV4G8
us,cash,B01AX30DXM,The Last Goodnight,Howard Blum,Tristan Morris,Biographies & Memoirs,Biographies & Memoirs; True Crime; Espionage; Women; History; Americas; Military; Modern; 20th Century,,14.5,4.2,185,6.99,29.69,https://m.media-amazon.com/images/I/61c-CnOqoKL._SL500_.jpg,https://www.audible.com/pd/B01AX30DXM
us,cash,B0DRMH33XN,Claiming Gabriel,Tessa Stone,"Ebony Ford,Myles Washington",Literature & Fiction,Literature & Fiction; African American; Romance; Fantasy; Paranormal,Soul Mate,8.9,4.7,351,5.99,19.59,https://m.media-amazon.com/images/I/516il02zNkL._SL500_.jpg,https://www.audible.com/pd/B0DRMH33XN
us,cash,B0GHBTDW3H,Goblin Gigs,Daniel Kensington,"Jonathan Waters,Aurora Bliss",Science Fiction & Fantasy,Science Fiction & Fantasy; Fantasy; Action & Adventure,Literature & Fiction,8.3,4.7,313,6.99,19.07,https://m.media-amazon.com/images/I/51Mu5Xqt5ML._SL500_.jpg,https://www.audible.com/pd/B0GHBTDW3H
us,cash,B07PB4QMKP,The Science of Rapid Skill Acquisition (Second Edition),Peter Hollins,Russell Newton,Business & Careers,"Business & Careers; Career Success; Education & Learning; Education; Relationships, Parenting & Personal Development; Personal Development; Personal Success; Stress Management",la_confidential,4.0,4.2,412,6.99,14.09,https://m.media-amazon.com/images/I/51kiYrz+2vL._SL500_.jpg,https://www.audible.com/pd/B07PB4QMKP
us,cash,B00NBAY1CY,The Perfectionists,Sara Shepard,Cassandra Morris,Teen & Young Adult,"Teen & Young Adult; Literature & Fiction; Difficult Situations; Family & Relationships; Dating & Sex; Humor; Mystery, Thriller & Suspense; Thrillers & Suspense",,8.0,4.2,174,6.99,23.39,https://m.media-amazon.com/images/I/51NZxHH8UwL._SL500_.jpg,https://www.audible.com/pd/B00NBAY1CY
us,cash,0063027836,I Am Here,Ashley LeMieux,Ashley LeMieux,Biographies & Memoirs,"Biographies & Memoirs; Relationships, Parenting & Personal Development; Personal Development; Emotions; Personal Success",,5.1,4.8,73,6.99,21.59,https://m.media-amazon.com/images/I/51HB9tri3+S._SL500_.jpg,https://www.audible.com/pd/0063027836
us,cash,B006YG6238,The Getaway,Jim Thompson,David de Vries,"Mystery, Thriller & Suspense","Mystery, Thriller & Suspense; Crime Fiction; Mystery; Hard-Boiled; Thriller & Suspense; Suspense",,5.4,4.0,67,6.99,17.09,https://m.media-amazon.com/images/I/51tNImy22eL._SL500_.jpg,https://www.audible.com/pd/B006YG6238
us,cash,B0CZ4MMMSW,Beyond Reasonable Doubt,Robert Dugoni,Saskia Maarleveld,"Mystery, Thriller & Suspense","Mystery, Thriller & Suspense; Thriller & Suspense; Legal; Suspense",Literature & Fiction,10.3,4.5,1229,7.99,20.85,https://m.media-amazon.com/images/I/51pnGAY2jfL._SL500_.jpg,https://www.audible.com/pd/B0CZ4MMMSW
